Date,Commodity,NonComm Long,NonComm Short,NonComm Net
2025-02-04,Rough Rice,2343,5475,-3132
2025-02-11,Rough Rice,2459,6480,-4021
2025-02-18,Rough Rice,2310,5935,-3625
2025-02-25,Rough Rice,2173,6237,-4064
2025-03-04,Rough Rice,2152,6826,-4674
2025-03-11,Rough Rice,2128,6243,-4115
2025-03-18,Rough Rice,2398,6230,-3832
2025-03-25,Rough Rice,2660,6693,-4033
2025-04-01,Rough Rice,2594,7009,-4415
2025-04-08,Rough Rice,2484,7255,-4771
2025-04-15,Rough Rice,2232,6203,-3971
2025-04-22,Rough Rice,2119,5891,-3772
2025-04-29,Rough Rice,2455,6683,-4228
2025-01-07,Soybean Meal,104534,130695,-26161
2025-01-14,Soybean Meal,97806,127832,-30026
2025-01-21,Soybean Meal,99189,127787,-28598
2025-01-28,Soybean Meal,95385,119893,-24508
2025-02-04,Soybean Meal,103159,103850,-691
2025-02-11,Soybean Meal,102087,116054,-13967
2025-02-18,Soybean Meal,103866,125462,-21596
2025-02-25,Soybean Meal,96388,132500,-36112
2025-03-04,Soybean Meal,100013,155917,-55904
2025-03-11,Soybean Meal,100704,145912,-45208
2025-03-18,Soybean Meal,105300,137507,-32207
2025-03-25,Soybean Meal,100370,149648,-49278
2025-04-01,Soybean Meal,108052,162352,-54300
2025-04-08,Soybean Meal,117689,163404,-45715
2025-04-15,Soybean Meal,113956,138092,-24136
2025-04-22,Soybean Meal,114769,145745,-30976
2025-04-29,Soybean Meal,112251,165985,-53734
2025-01-07,Soybean Oil,141860,136060,5800
2025-01-14,Soybean Oil,132019,97616,34403
2025-01-21,Soybean Oil,123527,85026,38501
2025-01-28,Soybean Oil,115448,67281,48167
2025-02-04,Soybean Oil,121346,67751,53595
2025-02-11,Soybean Oil,124887,69719,55168
2025-02-18,Soybean Oil,136977,74328,62649
2025-02-25,Soybean Oil,126301,81984,44317
2025-03-04,Soybean Oil,112638,98148,14490
2025-03-11,Soybean Oil,116061,117607,-1546
2025-03-18,Soybean Oil,119091,128925,-9834
2025-03-25,Soybean Oil,117284,140633,-23349
2025-04-01,Soybean Oil,127743,115659,12084
2025-04-08,Soybean Oil,125853,77143,48710
2025-04-15,Soybean Oil,123756,68161,55595
2025-04-22,Soybean Oil,133444,73053,60391
2025-04-29,Soybean Oil,151088,80923,70165
2025-01-07,Soybeans,160940,210941,-50001
2025-01-14,Soybeans,186047,171529,14518
2025-01-21,Soybeans,187255,168706,18549
2025-01-28,Soybeans,182713,151362,31351
2025-02-04,Soybeans,182119,144953,37166
2025-02-11,Soybeans,170362,163581,6781
2025-02-18,Soybeans,166913,172555,-5642
2025-02-25,Soybeans,160652,171202,-10550
2025-03-04,Soybeans,161354,195637,-34283
2025-03-11,Soybeans,165758,177898,-12140
2025-03-18,Soybeans,167323,175600,-8277
2025-03-25,Soybeans,161713,176123,-14410
2025-04-01,Soybeans,158653,162165,-3512
2025-04-08,Soybeans,162286,179134,-16848
2025-04-15,Soybeans,182824,132663,50161
2025-04-22,Soybeans,191535,135851,55684
2025-04-29,Soybeans,184167,124694,59473
2025-01-07,Spring Wheat Mpls,16010,44103,-28093
2025-01-14,Spring Wheat Mpls,17608,44709,-27101
2025-01-21,Spring Wheat Mpls,20598,44026,-23428
2025-01-28,Spring Wheat Mpls,23115,41891,-18776
2025-02-04,Spring Wheat Mpls,23503,35541,-12038
2025-02-11,Spring Wheat Mpls,18491,27584,-9093
2025-02-18,Spring Wheat Mpls,18196,23349,-5153
2025-02-25,Spring Wheat Mpls,17007,20346,-3339
2025-03-04,Spring Wheat Mpls,16455,32740,-16285
2025-03-11,Spring Wheat Mpls,16018,39137,-23119
2025-03-18,Spring Wheat Mpls,20800,38572,-17772
2025-03-25,Spring Wheat Mpls,17779,37166,-19387
2025-04-01,Spring Wheat Mpls,18550,42914,-24364
2025-04-08,Spring Wheat Mpls,16507,41622,-25115
2025-04-15,Spring Wheat Mpls,14686,32376,-17690
2025-04-22,Spring Wheat Mpls,14600,30923,-16323
2025-04-29,Spring Wheat Mpls,14985,34648,-19663
2025-01-07,Wheat,138397,217871,-79474
2025-01-14,Wheat,138772,220981,-82209
2025-01-21,Wheat,138911,211920,-73009
2025-01-28,Wheat,133872,224983,-91111
2025-02-04,Wheat,130876,198231,-67355
2025-02-11,Wheat,132148,188089,-55941
2025-02-18,Wheat,127440,164212,-36772
2025-02-25,Wheat,109657,171708,-62051
2025-03-04,Wheat,116367,201209,-84842
2025-03-11,Wheat,120935,199008,-78073
2025-03-18,Wheat,116964,193443,-76479
2025-03-25,Wheat,121763,204311,-82548
2025-04-01,Wheat,119598,222398,-102800
2025-04-08,Wheat,119544,211468,-91924
2025-04-15,Wheat,116030,204356,-88326
2025-04-22,Wheat,114514,208483,-93969
2025-04-29,Wheat,114740,231548,-116808
